Date : 2022-02-07 15:12:47
Directory : c:\xampp\htdocs\SurgeryAndWound
Total : 1102 files,  142768 codes, 61837 comments, 25596 blanks, all 230201 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| vendor\psr\http-message\src                                                                                                                           |          7 |        105 |      1,068 |         83 |      1,256 |
| vendor\psr\simple-cache                                                                                                                               |          6 |         72 |        101 |         24 |        197 |
| vendor\psr\simple-cache\src                                                                                                                           |          3 |         23 |        101 |         16 |        140 |
| vendor\symfony                                                                                                                                        |          8 |      3,764 |         81 |        189 |      4,034 |
| vendor\symfony\polyfill-mbstring                                                                                                                      |          8 |      3,764 |         81 |        189 |      4,034 |
| vendor\symfony\polyfill-mbstring\Resources                                                                                                            |          3 |      2,811 |          1 |          7 |      2,819 |
| vendor\symfony\polyfill-mbstring\Resources\unidata                                                                                                    |          3 |      2,811 |          1 |          7 |      2,819 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                              | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\xampp\htdocs\SurgeryAndWound\404.php                                                                                                               | PHP        |        114 |          5 |         23 |        142 |
| c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\admin.php                                                                                           | PHP        |        166 |          2 |         15 |        183 |
| c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\announcement.php                                                                                    | PHP        |        105 |          0 |         14 |        119 |
| c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\appointment.php                                                                                     | PHP        |        115 |          0 |          5 |        120 |
| c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\clinic-register.php                                                                                 | PHP        |        358 |         36 |         39 |        433 |
| c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\doctor-add.php                                                                                      | PHP        |        189 |        201 |         19 |        409 |
| c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\doctor-list.php                                                                                     | PHP        |        101 |          0 |          5 |        106 |
| c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\doctor-view.php                                                                                     | PHP        |         76 |          0 |          7 |         83 |
| c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\forgot.php                                                                                          | PHP        |         81 |          0 |         14 |         95 |
| c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\includes\path.inc.php                                                                               | PHP        |        118 |          7 |         16 |        141 |
| c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\includes\session.inc.php                                                                            | PHP        |         26 |          1 |          6 |         33 |
| c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\index.php                                                                                           | PHP        |        233 |          2 |         11 |        246 |
| c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\layouts\nav_header.php                                                                              | PHP        |         30 |          0 |          1 |         31 |
| c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\layouts\navigate.php                                                                                | PHP        |         68 |          0 |          0 |         68 |
| c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\layouts\widget.php                                                                                  | PHP        |         82 |          0 |          0 |         82 |
| c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\loadAppointment.php                                                                                 | PHP        |         44 |          6 |          4 |         54 |
| c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\loadReport.php                                                                                      | PHP        |         58 |          0 |          5 |         63 |
| c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\login.php                                                                                           | PHP        |         84 |          0 |         10 |         94 |
| c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\logout.php                                                                                          | PHP        |          4 |          2 |          0 |          6 |
| c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\patient-add.php                                                                                     | PHP        |         99 |        221 |          8 |        328 |
| c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\patient-list.php                                                                                    | PHP        |         72 |          0 |          4 |         76 |
| c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\patient-view.php                                                                                    | PHP        |        150 |          0 |         13 |        163 |
| c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\profile-edit.php                                                                                    | PHP        |        348 |         46 |         33 |        427 |
| c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\profile.php                                                                                         | PHP        |        168 |         43 |         14 |        225 |
| c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\register.php                                                                                        | PHP        |        130 |          0 |         13 |        143 |
| c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\report.php                                                                                          | PHP        |        110 |          0 |         12 |        122 |
| c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\reset.php                                                                                           | PHP        |        121 |          1 |         10 |        132 |
| c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\updateArrive.php                                                                                    | PHP        |         17 |          0 |          3 |         20 |
| c:\xampp\htdocs\SurgeryAndWound\README.md                                                                                                             | Markdown   |         74 |          0 |         18 |         92 |
| c:\xampp\htdocs\SurgeryAndWound\admin\admin-add.php                                                                                                   | PHP        |        106 |          4 |         17 |        127 |
| c:\xampp\htdocs\SurgeryAndWound\admin\admin-export.php                                                                                                | PHP        |        112 |          0 |         10 |        122 |
| c:\xampp\htdocs\SurgeryAndWound\admin\admin-upload.php                                                                                                | PHP        |        249 |         32 |         33 |        314 |
| c:\xampp\htdocs\SurgeryAndWound\admin\admin-upload2.php                                                                                               | PHP        |        246 |         19 |         33 |        298 |
| c:\xampp\htdocs\SurgeryAndWound\admin\admin.php                                                                                                       | PHP        |         72 |          0 |          3 |         75 |
| c:\xampp\htdocs\SurgeryAndWound\admin\appointment-add.php                                                                                             | PHP        |        154 |         14 |         19 |        187 |
| c:\xampp\htdocs\SurgeryAndWound\admin\appointment-excel-add.php                                                                                       | PHP        |        223 |         14 |         38 |        275 |
| c:\xampp\htdocs\SurgeryAndWound\admin\appointment-list.php                                                                                            | PHP        |        103 |          0 |          7 |        110 |
| c:\xampp\htdocs\SurgeryAndWound\admin\doctor-add.php                                                                                                  | PHP        |         88 |        278 |          6 |        372 |
| c:\xampp\htdocs\SurgeryAndWound\admin\excel.php                                                                                                       | PHP        |         91 |          1 |         18 |        110 |
| c:\xampp\htdocs\SurgeryAndWound\admin\includes\adm_conn.php                                                                                           | PHP        |        244 |         21 |         58 |        323 |
| c:\xampp\htdocs\SurgeryAndWound\admin\includes\path.inc.php                                                                                           | PHP        |        137 |         10 |         28 |        175 |
| c:\xampp\htdocs\SurgeryAndWound\admin\includes\session.inc.php                                                                                        | PHP        |         14 |          1 |          5 |         20 |
| c:\xampp\htdocs\SurgeryAndWound\admin\index.php                                                                                                       | PHP        |        106 |         12 |          6 |        124 |
| c:\xampp\htdocs\SurgeryAndWound\admin\layouts\404.php                                                                                                 | PHP        |        124 |          5 |         24 |        153 |
| c:\xampp\htdocs\SurgeryAndWound\admin\layouts\nav_header.php                                                                                          | PHP        |         30 |          0 |          0 |         30 |
| c:\xampp\htdocs\SurgeryAndWound\admin\layouts\navigate.php                                                                                            | PHP        |         65 |          0 |          0 |         65 |
| c:\xampp\htdocs\SurgeryAndWound\admin\layouts\widget.php                                                                                              | PHP        |         81 |          0 |          1 |         82 |
| c:\xampp\htdocs\SurgeryAndWound\admin\login.php                                                                                                       | PHP        |         48 |         10 |         11 |         69 |
| c:\xampp\htdocs\SurgeryAndWound\admin\logout.php                                                                                                      | PHP        |          8 |          0 |          0 |          8 |
| c:\xampp\htdocs\SurgeryAndWound\admin\not_needed\admin-export2.php                                                                                    | PHP        |         42 |          0 |          9 |         51 |
| c:\xampp\htdocs\SurgeryAndWound\admin\not_needed\admin-upload2.php                                                                                    | PHP        |        161 |          5 |         21 |        187 |
| c:\xampp\htdocs\SurgeryAndWound\admin\not_needed\appointment.php                                                                                      | PHP        |         81 |          0 |          2 |         83 |
| c:\xampp\htdocs\SurgeryAndWound\admin\not_needed\clinic-add.php                                                                                       | PHP        |        177 |         68 |         23 |        268 |
| c:\xampp\htdocs\SurgeryAndWound\admin\not_needed\clinic-edit.php                                                                                      | PHP        |        366 |          5 |         35 |        406 |
| c:\xampp\htdocs\SurgeryAndWound\admin\not_needed\clinic-list.php                                                                                      | PHP        |         88 |          0 |          2 |         90 |
| c:\xampp\htdocs\SurgeryAndWound\admin\not_needed\clinic-view.php                                                                                      | PHP        |        146 |          1 |          6 |        153 |
| c:\xampp\htdocs\SurgeryAndWound\admin\not_needed\doctor-add.php                                                                                       | PHP        |        137 |        275 |         20 |        432 |
| c:\xampp\htdocs\SurgeryAndWound\admin\not_needed\doctor-list.php                                                                                      | PHP        |         75 |          0 |          3 |         78 |
| c:\xampp\htdocs\SurgeryAndWound\admin\not_needed\doctor-view.php                                                                                      | PHP        |        339 |          0 |         27 |        366 |
| c:\xampp\htdocs\SurgeryAndWound\admin\not_needed\patient-assign2.php                                                                                  | PHP        |        123 |          2 |         18 |        143 |
| c:\xampp\htdocs\SurgeryAndWound\admin\not_needed\patient-list.php                                                                                     | PHP        |         75 |          0 |          3 |         78 |
| c:\xampp\htdocs\SurgeryAndWound\admin\not_needed\patient-view.php                                                                                     | PHP        |        339 |          0 |         27 |        366 |
| c:\xampp\htdocs\SurgeryAndWound\admin\not_needed\speciality.php                                                                                       | PHP        |         87 |        199 |         10 |        296 |
| c:\xampp\htdocs\SurgeryAndWound\admin\patient-add.php                                                                                                 | PHP        |         88 |        281 |          7 |        376 |
| c:\xampp\htdocs\SurgeryAndWound\admin\patient-assign.php                                                                                              | PHP        |        144 |          2 |         16 |        162 |
| c:\xampp\htdocs\SurgeryAndWound\admin\patient-doctor-list.php                                                                                         | PHP        |        128 |          0 |          6 |        134 |
| c:\xampp\htdocs\SurgeryAndWound\admin\patient-doctor-view.php                                                                                         | PHP        |        496 |          0 |         39 |        535 |
| c:\xampp\htdocs\SurgeryAndWound\admin\patient-edit-view.php                                                                                           | PHP        |        341 |        362 |         30 |        733 |
| c:\xampp\htdocs\SurgeryAndWound\admin\profile.php                                                                                                     | PHP        |        189 |         12 |         20 |        221 |
| c:\xampp\htdocs\SurgeryAndWound\admin\research_team-add.php                                                                                           | PHP        |        274 |         19 |         35 |        328 |
| c:\xampp\htdocs\SurgeryAndWound\assets\css\all.min.css                                                                                                | CSS        |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\SurgeryAndWound\assets\css\animate.css                                                                                                | CSS        |      3,057 |         11 |        558 |      3,626 |
| c:\xampp\htdocs\SurgeryAndWound\assets\css\bootstrap-datepicker.min.css                                                                               | CSS        |          1 |          5 |          1 |          7 |
| c:\xampp\htdocs\SurgeryAndWound\assets\css\bootstrap-datetimepicker.min.css                                                                           | CSS        |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\SurgeryAndWound\assets\css\bootstrap-select.min.css                                                                                   | CSS        |          1 |          5 |          0 |          6 |
| c:\xampp\htdocs\SurgeryAndWound\assets\css\bootstrap.min.css                                                                                          | CSS        |          1 |          6 |          0 |          7 |
| c:\xampp\htdocs\SurgeryAndWound\assets\css\clinic\gijgo.min.css                                                                                       | CSS        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\SurgeryAndWound\assets\css\clinic\index.css                                                                                           | CSS        |         50 |          2 |          8 |         60 |
| c:\xampp\htdocs\SurgeryAndWound\assets\css\clinic\schedule.css                                                                                        | CSS        |         84 |          8 |         18 |        110 |
| c:\xampp\htdocs\SurgeryAndWound\assets\css\clinic\style.css                                                                                           | CSS        |        114 |          3 |         22 |        139 |
| c:\xampp\htdocs\SurgeryAndWound\assets\css\dataTables.bootstrap4.min.css                                                                              | CSS        |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\SurgeryAndWound\assets\css\default.css                                                                                                | CSS        |        293 |        179 |         70 |        542 |
| c:\xampp\htdocs\SurgeryAndWound\assets\css\login.css                                                                                                  | CSS        |         59 |         16 |         15 |         90 |
| c:\xampp\htdocs\SurgeryAndWound\assets\css\metisMenu.min.css                                                                                          | CSS        |          1 |          7 |          0 |          8 |
| c:\xampp\htdocs\SurgeryAndWound\assets\css\owl.carousel.min.css                                                                                       | CSS        |          1 |          5 |          0 |          6 |
| c:\xampp\htdocs\SurgeryAndWound\assets\css\owl.theme.default.min.css                                                                                  | CSS        |          1 |          5 |          0 |          6 |
| c:\xampp\htdocs\SurgeryAndWound\assets\css\sweetalert2.min.css                                                                                        | CSS        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\SurgeryAndWound\assets\css\themify-icons.css                                                                                          | CSS        |      1,077 |          1 |          4 |      1,082 |
| c:\xampp\htdocs\SurgeryAndWound\assets\css\typography.css                                                                                             | CSS        |        113 |         20 |         21 |        154 |
| c:\xampp\htdocs\SurgeryAndWound\assets\fonts\themify.svg                                                                                              | XML        |        362 |          0 |          0 |        362 |
| c:\xampp\htdocs\SurgeryAndWound\assets\img\widget\users.svg                                                                                           | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\SurgeryAndWound\assets\js\bootstrap-datepicker.min.js                                                                                 | JavaScript |          2 |          5 |          1 |          8 |
| c:\xampp\htdocs\SurgeryAndWound\assets\js\bootstrap-datetimepicker.min.js                                                                             | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\SurgeryAndWound\assets\js\bootstrap-select.min.js                                                                                     | JavaScript |          1 |          7 |          1 |          9 |
| c:\xampp\htdocs\SurgeryAndWound\assets\js\bootstrap.bundle.min.js                                                                                     | JavaScript |          1 |          6 |          0 |          7 |
| c:\xampp\htdocs\SurgeryAndWound\assets\js\bootstrap.min.js                                                                                            | JavaScript |          1 |          6 |          0 |          7 |
| c:\xampp\htdocs\SurgeryAndWound\assets\js\dataTables.bootstrap4.min.js                                                                                | JavaScript |          4 |          4 |          1 |          9 |
| c:\xampp\htdocs\SurgeryAndWound\assets\js\jquery-3.4.1.min.js                                                                                         | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\SurgeryAndWound\assets\js\jquery.dataTables.min.js                                                                                    | JavaScript |        162 |          4 |          1 |        167 |
| c:\xampp\htdocs\SurgeryAndWound\assets\js\metismenu.js                                                                                                | JavaScript |          1 |          8 |          0 |          9 |
| c:\xampp\htdocs\SurgeryAndWound\assets\js\modernizr-2.8.3.min.js                                                                                      | JavaScript |          1 |          3 |          1 |          5 |
| c:\xampp\htdocs\SurgeryAndWound\assets\js\moment.min.js                                                                                               | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\SurgeryAndWound\assets\js\owl.carousel.min.js                                                                                         | JavaScript |          2 |          5 |          0 |          7 |
| c:\xampp\htdocs\SurgeryAndWound\assets\js\popper.min.js                                                                                               | JavaScript |          1 |          4 |          1 |          6 |
| c:\xampp\htdocs\SurgeryAndWound\assets\js\scripts.js                                                                                                  | JavaScript |        182 |        133 |         40 |        355 |
| c:\xampp\htdocs\SurgeryAndWound\assets\js\sweetalert2.all.min.js                                                                                      | JavaScript |          2 |          0 |          0 |          2 |
| c:\xampp\htdocs\SurgeryAndWound\assets\js\validation.js                                                                                               | JavaScript |         34 |          0 |          5 |         39 |
| c:\xampp\htdocs\SurgeryAndWound\assets\webfonts\fa-brands-400.svg                                                                                     | XML        |      3,438 |          4 |          1 |      3,443 |
| c:\xampp\htdocs\SurgeryAndWound\assets\webfonts\fa-regular-400.svg                                                                                    | XML        |        799 |          4 |          1 |        804 |
| c:\xampp\htdocs\SurgeryAndWound\assets\webfonts\fa-solid-900.svg                                                                                      | XML        |      4,645 |          4 |          1 |      4,650 |
| c:\xampp\htdocs\SurgeryAndWound\composer.json                                                                                                         | JSON       |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\SurgeryAndWound\composer.lock                                                                                                         | JSON       |        843 |          0 |          1 |        844 |
| c:\xampp\htdocs\SurgeryAndWound\config\autoload.php                                                                                                   | PHP        |         14 |          0 |          3 |         17 |
| c:\xampp\htdocs\SurgeryAndWound\config\config.php                                                                                                     | PHP        |          9 |          4 |          5 |         18 |
| c:\xampp\htdocs\SurgeryAndWound\config\database.php                                                                                                   | PHP        |         14 |          4 |          6 |         24 |
| c:\xampp\htdocs\SurgeryAndWound\config\password_recovery.php                                                                                          | PHP        |         94 |          6 |         29 |        129 |
| c:\xampp\htdocs\SurgeryAndWound\config\path_css.php                                                                                                   | PHP        |         30 |          1 |          2 |         33 |
| c:\xampp\htdocs\SurgeryAndWound\config\path_script.php                                                                                                | PHP        |         16 |         23 |          8 |         47 |
| c:\xampp\htdocs\SurgeryAndWound\config\phpmailer\Exception.php                                                                                        | PHP        |          9 |         28 |          3 |         40 |
| c:\xampp\htdocs\SurgeryAndWound\config\phpmailer\OAuth.php                                                                                            | PHP        |         46 |         79 |         14 |        139 |
| c:\xampp\htdocs\SurgeryAndWound\config\phpmailer\PHPMailer.php                                                                                        | PHP        |      2,664 |      1,801 |        372 |      4,837 |
| c:\xampp\htdocs\SurgeryAndWound\config\phpmailer\POP3.php                                                                                             | PHP        |        168 |        209 |         45 |        422 |
| c:\xampp\htdocs\SurgeryAndWound\config\phpmailer\SMTP.php                                                                                             | PHP        |        680 |        587 |        133 |      1,400 |
| c:\xampp\htdocs\SurgeryAndWound\config\resetPassword-inc.php                                                                                          | PHP        |         71 |          7 |         10 |         88 |
| c:\xampp\htdocs\SurgeryAndWound\config\security.php                                                                                                   | PHP        |         50 |         18 |         14 |         82 |
| c:\xampp\htdocs\SurgeryAndWound\config\session_destroy.php                                                                                            | PHP        |          4 |          3 |          3 |         10 |
| c:\xampp\htdocs\SurgeryAndWound\config\validator.php                                                                                                  | PHP        |         77 |         49 |         14 |        140 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\appointment-list.php                                                                                           | PHP        |        118 |          0 |         12 |        130 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\comment-list.php                                                                                               | PHP        |        109 |          0 |          8 |        117 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\doctor-Iupload.php                                                                                             | PHP        |         75 |        290 |         17 |        382 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\doctor-Iview.php                                                                                               | PHP        |         71 |          0 |          7 |         78 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\doctor-edit-rec.php                                                                                            | PHP        |        209 |        319 |         24 |        552 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\doctor-feedback.php                                                                                            | PHP        |        327 |        398 |         32 |        757 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\doctor-view.php                                                                                                | PHP        |        309 |          0 |         26 |        335 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\includes\2tor_conn.php                                                                                         | PHP        |        104 |         11 |         29 |        144 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\includes\path.inc.php                                                                                          | PHP        |         43 |          2 |          8 |         53 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\includes\session.inc.php                                                                                       | PHP        |         14 |          1 |          6 |         21 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\index.php                                                                                                      | PHP        |        181 |         12 |         13 |        206 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\layouts\nav_header.php                                                                                         | PHP        |         97 |          0 |         10 |        107 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\layouts\navigate.php                                                                                           | PHP        |         57 |          0 |          1 |         58 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\layouts\widget.php                                                                                             | PHP        |         86 |          0 |          0 |         86 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\loadReport.php                                                                                                 | PHP        |         50 |          3 |         11 |         64 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\login.php                                                                                                      | PHP        |         48 |         12 |         12 |         72 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\logout.php                                                                                                     | PHP        |          8 |          0 |          0 |          8 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\notification-list.php                                                                                          | PHP        |        108 |          4 |         10 |        122 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\patient-list.php                                                                                               | PHP        |         85 |          0 |          4 |         89 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\patient-view.php                                                                                               | PHP        |        314 |          1 |         27 |        342 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\profile.php                                                                                                    | PHP        |        183 |         10 |         17 |        210 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\report.php                                                                                                     | PHP        |        111 |          0 |         12 |        123 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\review.php                                                                                                     | PHP        |        172 |          0 |         18 |        190 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\speciality.php                                                                                                 | PHP        |         87 |        199 |         10 |        296 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\activate.php                                                                                           | PHP        |        129 |          1 |         11 |        141 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\appointment-view.php                                                                                   | PHP        |        393 |          7 |         36 |        436 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\appointment.php                                                                                        | PHP        |         86 |          0 |          5 |         91 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\doctor-edit.php                                                                                        | PHP        |        197 |        188 |         17 |        402 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\doctor.php                                                                                             | PHP        |         73 |          0 |          5 |         78 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\forgot.php                                                                                             | PHP        |         82 |          0 |         13 |         95 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\index.php                                                                                              | PHP        |        204 |          4 |          7 |        215 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\loadAppointment.php                                                                                    | PHP        |         47 |          7 |          3 |         57 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\loadSchedule.php                                                                                       | PHP        |         22 |          0 |          6 |         28 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\login.php                                                                                              | PHP        |         87 |          0 |          9 |         96 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\logout.php                                                                                             | PHP        |          6 |          2 |          0 |          8 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\password.php                                                                                           | PHP        |         90 |          0 |         10 |        100 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\patient-list.php                                                                                       | PHP        |         72 |          0 |          4 |         76 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\patient-view.php                                                                                       | PHP        |        376 |          7 |         34 |        417 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\reset.php                                                                                              | PHP        |        121 |         27 |         12 |        160 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\sch-edit.php                                                                                           | PHP        |        210 |          0 |         17 |        227 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\sch-list.php                                                                                           | PHP        |        240 |          0 |         15 |        255 |
| c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\treatment.php                                                                                          | PHP        |        173 |          0 |         17 |        190 |
| c:\xampp\htdocs\SurgeryAndWound\helper\email.helper.php                                                                                               | PHP        |        101 |          1 |          8 |        110 |
| c:\xampp\htdocs\SurgeryAndWound\helper\select_helper.php                                                                                              | PHP        |        215 |         14 |          4 |        233 |
| c:\xampp\htdocs\SurgeryAndWound\index.php                                                                                                             | PHP        |        265 |          0 |         14 |        279 |
| c:\xampp\htdocs\SurgeryAndWound\patient\appointment-list.php                                                                                          | PHP        |        118 |          1 |         12 |        131 |
| c:\xampp\htdocs\SurgeryAndWound\patient\includes\1ent_conn.php                                                                                        | PHP        |        151 |         16 |         31 |        198 |
| c:\xampp\htdocs\SurgeryAndWound\patient\includes\adm_conn.php                                                                                         | PHP        |         90 |         11 |         25 |        126 |
| c:\xampp\htdocs\SurgeryAndWound\patient\includes\path.inc.php                                                                                         | PHP        |         43 |          2 |          9 |         54 |
| c:\xampp\htdocs\SurgeryAndWound\patient\includes\session.inc.php                                                                                      | PHP        |         13 |          1 |          6 |         20 |
| c:\xampp\htdocs\SurgeryAndWound\patient\index.php                                                                                                     | PHP        |        224 |          3 |         24 |        251 |
| c:\xampp\htdocs\SurgeryAndWound\patient\layouts\404.php                                                                                               | PHP        |        124 |          5 |         24 |        153 |
| c:\xampp\htdocs\SurgeryAndWound\patient\layouts\nav_header.php                                                                                        | PHP        |         82 |          0 |          5 |         87 |
| c:\xampp\htdocs\SurgeryAndWound\patient\layouts\navigate.php                                                                                          | PHP        |         79 |          0 |          0 |         79 |
| c:\xampp\htdocs\SurgeryAndWound\patient\layouts\widget.php                                                                                            | PHP        |         81 |          0 |          1 |         82 |
| c:\xampp\htdocs\SurgeryAndWound\patient\login.php                                                                                                     | PHP        |         49 |         13 |         19 |         81 |
| c:\xampp\htdocs\SurgeryAndWound\patient\logout.php                                                                                                    | PHP        |          8 |          0 |          0 |          8 |
| c:\xampp\htdocs\SurgeryAndWound\patient\new\index.php                                                                                                 | PHP        |         29 |          0 |         17 |         46 |
| c:\xampp\htdocs\SurgeryAndWound\patient\new\patient-edit-rec.php                                                                                      | PHP        |        209 |        319 |         24 |        552 |
| c:\xampp\htdocs\SurgeryAndWound\patient\notification-list.php                                                                                         | PHP        |        108 |          4 |         10 |        122 |
| c:\xampp\htdocs\SurgeryAndWound\patient\patient-Iupload.php                                                                                           | PHP        |         75 |        293 |         17 |        385 |
| c:\xampp\htdocs\SurgeryAndWound\patient\patient-Iview.php                                                                                             | PHP        |        164 |          0 |         14 |        178 |
| c:\xampp\htdocs\SurgeryAndWound\patient\patient-edit-rec.php                                                                                          | PHP        |        209 |        319 |         24 |        552 |
| c:\xampp\htdocs\SurgeryAndWound\patient\patient-edit-view.php                                                                                         | PHP        |        268 |        351 |         23 |        642 |
| c:\xampp\htdocs\SurgeryAndWound\patient\patient-list.php                                                                                              | PHP        |         75 |          0 |          3 |         78 |
| c:\xampp\htdocs\SurgeryAndWound\patient\patient-view.php                                                                                              | PHP        |        309 |          0 |         26 |        335 |
| c:\xampp\htdocs\SurgeryAndWound\patient\profile.php                                                                                                   | PHP        |        181 |         39 |         22 |        242 |
| c:\xampp\htdocs\SurgeryAndWound\patient\progress-tracking.php                                                                                         | PHP        |         43 |          2 |         11 |         56 |
